positive  	UNI_food:1 UNI_excellent:1 UNI_every:1 UNI_chance:1 UNI_get:3 UNI_eat:1 UNI_early:1 UNI_always:1 UNI_crowded:1 BIGRAM_food_excellent:1 BIGRAM_excellent_every:1 BIGRAM_every_chance:1 BIGRAM_chance_get:1 BIGRAM_get_eat:1 BIGRAM_eat_get:1 BIGRAM_get_early:1 BIGRAM_early_always:1 BIGRAM_always_crowded:1 
positive  	UNI_landlord:1 UNI_'s:3 UNI_family:1 UNI_actually:1 UNI_owns:1 UNI_restaurant:1 UNI_food:3 UNI_comes:1 UNI_close:1 UNI_grandmother:1 UNI_cooking:1 UNI_-and:1 UNI_meatballs:1 UNI_heavenly:1 UNI_also:1 UNI_loved:1 UNI_homemade:1 UNI_salad:1 UNI_dressing-italian:1 UNI_course:1 UNI_like:1 UNI_little:1 UNI_gramma:1 UNI_house:1 UNI_definate:1 UNI_comfort:1 UNI_place:1 UNI_everyone:1 BIGRAM_landlord_'s:1 BIGRAM_'s_family:1 BIGRAM_family_actually:1 BIGRAM_actually_owns:1 BIGRAM_owns_restaurant:1 BIGRAM_restaurant_food:1 BIGRAM_food_comes:1 BIGRAM_comes_close:1 BIGRAM_close_grandmother:1 BIGRAM_grandmother_'s:1 BIGRAM_'s_cooking:1 BIGRAM_cooking_-and:1 BIGRAM_-and_meatballs:1 BIGRAM_meatballs_heavenly:1 BIGRAM_heavenly_also:1 BIGRAM_also_loved:1 BIGRAM_loved_homemade:1 BIGRAM_homemade_salad:1 BIGRAM_salad_dressing-italian:1 BIGRAM_dressing-italian_course:1 BIGRAM_course_like:1 BIGRAM_like_little:1 BIGRAM_little_gramma:1 BIGRAM_gramma_'s:1 BIGRAM_'s_house:1 BIGRAM_house_definate:1 BIGRAM_definate_comfort:1 BIGRAM_comfort_food:1 BIGRAM_food_place:1 BIGRAM_place_everyone:1 
positive  	UNI_everything:1 UNI_great:1 BIGRAM_everything_great:1 
positive  	UNI_buckey:1 UNI_'s:1 UNI_great:3 UNI_little:1 UNI_place:1 UNI_really:1 UNI_good:1 UNI_food:1 UNI_awesome:1 UNI_pizza:1 UNI_daily:1 UNI_specials:1 UNI_service:1 UNI_pheonomal:1 UNI_onion:1 UNI_brick:1 UNI_appetiser:1 UNI_highly:1 UNI_recommend:1 UNI_area:1 BIGRAM_buckey_'s:1 BIGRAM_'s_great:1 BIGRAM_great_little:1 BIGRAM_little_place:1 BIGRAM_place_really:1 BIGRAM_really_good:1 BIGRAM_good_food:1 BIGRAM_food_awesome:1 BIGRAM_awesome_pizza:1 BIGRAM_pizza_daily:1 BIGRAM_daily_specials:1 BIGRAM_specials_service:1 BIGRAM_service_great:1 BIGRAM_great_pheonomal:1 BIGRAM_pheonomal_onion:1 BIGRAM_onion_brick:1 BIGRAM_brick_appetiser:1 BIGRAM_appetiser_highly:1 BIGRAM_highly_recommend:1 BIGRAM_recommend_area:1 
positive  	UNI_chefs:1 UNI_nice:3 UNI_service:1 UNI_great:1 UNI_prices:1 UNI_reasonable:1 UNI_even:1 UNI_diners:1 UNI_polite:1 BIGRAM_chefs_nice:1 BIGRAM_nice_service:1 BIGRAM_service_great:1 BIGRAM_great_prices:1 BIGRAM_prices_reasonable:1 BIGRAM_reasonable_even:1 BIGRAM_even_diners:1 BIGRAM_diners_nice:1 BIGRAM_nice_polite:1 
positive  	UNI_family:1 UNI_wonderful:1 UNI_evening:1 UNI_dining:1 UNI_experience:1 UNI_made:1 UNI_quite:1 UNI_easy:1 UNI_experienced:1 UNI_knowledgable:1 UNI_staff:1 UNI_wait:1 UNI_food:1 UNI_short:1 UNI_taste:1 UNI_delectable:1 UNI_surely:1 UNI_returning:1 UNI_many:1 UNI_dinners:1 BIGRAM_family_wonderful:1 BIGRAM_wonderful_evening:1 BIGRAM_evening_dining:1 BIGRAM_dining_experience:1 BIGRAM_experience_made:1 BIGRAM_made_quite:1 BIGRAM_quite_easy:1 BIGRAM_easy_experienced:1 BIGRAM_experienced_knowledgable:1 BIGRAM_knowledgable_staff:1 BIGRAM_staff_wait:1 BIGRAM_wait_food:1 BIGRAM_food_short:1 BIGRAM_short_taste:1 BIGRAM_taste_delectable:1 BIGRAM_delectable_surely:1 BIGRAM_surely_returning:1 BIGRAM_returning_many:1 BIGRAM_many_dinners:1 
positive  	UNI_wonderfully:1 UNI_aged:1 UNI_beef:1 UNI_fish:1 UNI_flown:1 UNI_daily:1 UNI_service:1 UNI_atmosphere:1 UNI_superb:1 UNI_low:1 UNI_lighting:1 UNI_burning:1 UNI_fireplaces:1 UNI_cozy:1 UNI_lounge:1 UNI_well:1 UNI_highly:1 UNI_recommended:1 BIGRAM_wonderfully_aged:1 BIGRAM_aged_beef:1 BIGRAM_beef_fish:1 BIGRAM_fish_flown:1 BIGRAM_flown_daily:1 BIGRAM_daily_service:1 BIGRAM_service_atmosphere:1 BIGRAM_atmosphere_superb:1 BIGRAM_superb_low:1 BIGRAM_low_lighting:1 BIGRAM_lighting_burning:1 BIGRAM_burning_fireplaces:1 BIGRAM_fireplaces_cozy:1 BIGRAM_cozy_lounge:1 BIGRAM_lounge_well:1 BIGRAM_well_highly:1 BIGRAM_highly_recommended:1 
positive  	UNI_good:1 UNI_selection:1 UNI_mexican:1 UNI_foods:1 UNI_enchiladas:1 UNI_mole:1 UNI_chimichangas:1 UNI_chilis:1 UNI_rellenos:1 UNI_flan:1 UNI_dessert:1 UNI_plenty:1 UNI_food:1 UNI_prices:1 UNI_reasonable:1 UNI_'ll:1 UNI_definitely:1 UNI_go:1 UNI_back:1 BIGRAM_good_selection:1 BIGRAM_selection_mexican:1 BIGRAM_mexican_foods:1 BIGRAM_foods_enchiladas:1 BIGRAM_enchiladas_mole:1 BIGRAM_mole_chimichangas:1 BIGRAM_chimichangas_chilis:1 BIGRAM_chilis_rellenos:1 BIGRAM_rellenos_flan:1 BIGRAM_flan_dessert:1 BIGRAM_dessert_plenty:1 BIGRAM_plenty_food:1 BIGRAM_food_prices:1 BIGRAM_prices_reasonable:1 BIGRAM_reasonable_'ll:1 BIGRAM_'ll_definitely:1 BIGRAM_definitely_go:1 BIGRAM_go_back:1 
positive  	UNI_fine:1 UNI_dining:1 UNI_establishment:1 UNI_right:1 UNI_beach:1 UNI_perfect:1 UNI_catch:1 UNI_hawaiian:1 UNI_sunset:1 UNI_bad:1 UNI_seat:1 UNI_house:1 UNI_excellent:1 UNI_fresh:1 UNI_seafood:1 UNI_well:3 UNI_prepared:1 UNI_steaks:1 UNI_little:1 UNI_pricy:1 UNI_worth:1 UNI_special:1 UNI_occasion:1 UNI_like:1 UNI_trip:1 UNI_kauai:1 UNI_hawaii:1 BIGRAM_fine_dining:1 BIGRAM_dining_establishment:1 BIGRAM_establishment_right:1 BIGRAM_right_beach:1 BIGRAM_beach_perfect:1 BIGRAM_perfect_catch:1 BIGRAM_catch_hawaiian:1 BIGRAM_hawaiian_sunset:1 BIGRAM_sunset_bad:1 BIGRAM_bad_seat:1 BIGRAM_seat_house:1 BIGRAM_house_excellent:1 BIGRAM_excellent_fresh:1 BIGRAM_fresh_seafood:1 BIGRAM_seafood_well:1 BIGRAM_well_prepared:1 BIGRAM_prepared_steaks:1 BIGRAM_steaks_little:1 BIGRAM_little_pricy:1 BIGRAM_pricy_well:1 BIGRAM_well_worth:1 BIGRAM_worth_special:1 BIGRAM_special_occasion:1 BIGRAM_occasion_like:1 BIGRAM_like_trip:1 BIGRAM_trip_kauai:1 BIGRAM_kauai_hawaii:1 
positive  	UNI_crickets:1 UNI_always:3 UNI_pleasure:1 UNI_several:1 UNI_times:1 UNI_service:3 UNI_exceptional:1 UNI_food:3 UNI_consistently:1 UNI_good:1 UNI_extensive:1 UNI_beer:1 UNI_list:3 UNI_wine:1 UNI_bar:1 UNI_area:1 UNI_little:1 UNI_noisy:1 UNI_make:1 UNI_last:1 UNI_dined:1 UNI_saturday:1 UNI_night:1 UNI_waited:1 UNI_25:1 UNI_minutes:1 UNI_prices:1 UNI_reasonable:1 UNI_quality:1 UNI_although:1 UNI_specials:1 UNI_bit:1 UNI_pricey:1 BIGRAM_crickets_always:1 BIGRAM_always_pleasure:1 BIGRAM_pleasure_several:1 BIGRAM_several_times:1 BIGRAM_times_service:1 BIGRAM_service_always:1 BIGRAM_always_exceptional:1 BIGRAM_exceptional_food:1 BIGRAM_food_consistently:1 BIGRAM_consistently_good:1 BIGRAM_good_extensive:1 BIGRAM_extensive_beer:1 BIGRAM_beer_list:1 BIGRAM_list_wine:1 BIGRAM_wine_list:1 BIGRAM_list_bar:1 BIGRAM_bar_area:1 BIGRAM_area_little:1 BIGRAM_little_noisy:1 BIGRAM_noisy_food:1 BIGRAM_food_service:1 BIGRAM_service_make:1 BIGRAM_make_last:1 BIGRAM_last_dined:1 BIGRAM_dined_saturday:1 BIGRAM_saturday_night:1 BIGRAM_night_waited:1 BIGRAM_waited_25:1 BIGRAM_25_minutes:1 BIGRAM_minutes_prices:1 BIGRAM_prices_reasonable:1 BIGRAM_reasonable_quality:1 BIGRAM_quality_although:1 BIGRAM_although_specials:1 BIGRAM_specials_bit:1 BIGRAM_bit_pricey:1 
positive  	UNI_rodizio:3 UNI_grill:3 UNI_probably:1 UNI_best:1 UNI_place:3 UNI_ever:1 UNI_eaten:1 UNI_styled:1 UNI_brazilian:1 UNI_barbecue:1 UNI_love:1 UNI_meat:3 UNI_eat:3 UNI_lot:1 UNI_kinds:1 UNI_meats:1 UNI_salads:1 UNI_waiters:1 UNI_walk:1 UNI_around:1 UNI_spear-type:1 UNI_things:1 UNI_cut:1 UNI_slice:1 UNI_want:3 UNI_food:1 UNI_incredible:1 UNI_service:1 UNI_great:1 UNI_plan:1 UNI_going:1 UNI_hour:1 UNI_half:1 UNI_though:3 UNI_n't:1 UNI_take:1 UNI_reservations:1 UNI_dinner:1 UNI_time:1 UNI_always:1 UNI_full:1 UNI_least:1 UNI_weekends:1 UNI_plenty:1 UNI_shopping:1 UNI_area:3 UNI_wait:1 UNI_well:1 UNI_worth:1 UNI_also:1 UNI_another:1 UNI_similar:1 UNI_restaurant:1 UNI_called:1 UNI_tucano:1 UNI_'s:1 UNI_orem:1 UNI_ut:1 BIGRAM_rodizio_grill:3 BIGRAM_grill_probably:1 BIGRAM_probably_best:1 BIGRAM_best_place:1 BIGRAM_place_ever:1 BIGRAM_ever_eaten:1 BIGRAM_eaten_styled:1 BIGRAM_styled_brazilian:1 BIGRAM_brazilian_barbecue:1 BIGRAM_barbecue_love:1 BIGRAM_love_meat:1 BIGRAM_meat_eat:1 BIGRAM_eat_lot:1 BIGRAM_lot_place:1 BIGRAM_place_kinds:1 BIGRAM_kinds_meats:1 BIGRAM_meats_salads:1 BIGRAM_salads_eat:1 BIGRAM_eat_waiters:1 BIGRAM_waiters_walk:1 BIGRAM_walk_around:1 BIGRAM_around_meat:1 BIGRAM_meat_spear-type:1 BIGRAM_spear-type_things:1 BIGRAM_things_cut:1 BIGRAM_cut_slice:1 BIGRAM_slice_want:1 BIGRAM_want_food:1 BIGRAM_food_incredible:1 BIGRAM_incredible_service:1 BIGRAM_service_great:1 BIGRAM_great_plan:1 BIGRAM_plan_going:1 BIGRAM_going_hour:1 BIGRAM_hour_half:1 BIGRAM_half_want:1 BIGRAM_want_eat:1 BIGRAM_eat_though:1 BIGRAM_though_n't:1 BIGRAM_n't_take:1 BIGRAM_take_reservations:1 BIGRAM_reservations_dinner:1 BIGRAM_dinner_time:1 BIGRAM_time_always:1 BIGRAM_always_full:1 BIGRAM_full_least:1 BIGRAM_least_weekends:1 BIGRAM_weekends_plenty:1 BIGRAM_plenty_shopping:1 BIGRAM_shopping_area:1 BIGRAM_area_wait:1 BIGRAM_wait_though:1 BIGRAM_though_well:1 BIGRAM_well_worth:1 BIGRAM_worth_also:1 BIGRAM_also_rodizio:1 BIGRAM_grill_another:1 BIGRAM_another_similar:1 BIGRAM_similar_restaurant:1 BIGRAM_restaurant_called:1 BIGRAM_called_tucano:1 BIGRAM_tucano_'s:1 BIGRAM_'s_orem:1 BIGRAM_orem_ut:1 BIGRAM_ut_area:1 
